img_name,tnbc,CAF,firstorder_Mean,firstorder_StandardDeviation,firstorder_Skewness,firstorder_Kurtosis,firstorder_Entropy,firstorder_Minimum,firstorder_Maximum,firstorder_Median,firstorder_InterquartileRange,firstorder_Range,shape2D_MeshSurface,shape2D_PixelSurface,shape2D_Perimeter,shape2D_PerimeterSurfaceRatio,shape2D_Sphericity,shape2D_SphericalDisproportion,shape2D_MaximumDiameter,shape2D_MajorAxisLength,shape2D_MinorAxisLength,shape2D_Elongation,glcm_JointEnergy,glcm_Contrast,glcm_Correlation,glcm_SumSquares,glcm_SumAverage,glcm_JointEntropy,glcm_DifferenceVariance,glcm_DifferenceEntropy,glcm_DifferenceAverage,glcm_Imc1,glcm_Imc2,glcm_Autocorrelation,glcm_ClusterShade,glcm_ClusterProminence,glcm_MaximumProbability,glcm_InverseVariance
segment_83,1,1,83.20689655,31.84864996,-1.23619853,3.84800249,1.91542426,1,121,94,37.25,120,35.5,58,153.2792206,4.31772452,0.137795751,7.257117836,289.8861846,310.8466851,154.9370728,0.498435661,0.6165625,0.19166667,0.83286348,0.43536458,6.575,1.08158185,0.13145833,0.55878737,0.19166667,-0.46396216,0.60254695,13.775,-1.55615625,6.07310378,0.74166667,0.19166667
segment_84,1,1,60.90909091,33.82025898,-0.61126732,1.99465388,1.87890843,1,105,73.5,48.25,104,43.5,66,169.2792206,3.89147634,0.13811661,7.240258803,284.369478,374.1502596,180.4012825,0.482162655,0.47170782,0.33333333,0.8948977,1.03369342,4.75925926,1.64714572,0.23045267,0.71423009,0.25925926,-0.37172336,0.61445434,7.63888889,-6.80464106,46.65202522,0.55555556,0.19444444
segment_85,1,1,79.2173913,32.06509211,-0.51679282,2.39158993,2.32537703,0,130,81,48.5,130,25,46,126.7939392,5.07175757,0.139790108,7.153581978,334.0928015,311.398121,251.6415754,0.808102421,0.34375,0.25,0.46666667,0.234375,10.75,1.75,0.1875,0.81127812,0.25,-0.16645258,0.52173279,29,0.28125,0.76953125,0.5,0.25
segment_89,1,1,88,35.48619226,-1.24565477,3.63954324,2.04249929,0,128,100,40,128,38.5,63,166.5929291,4.32708907,0.132031857,7.57392966,364.2320689,363.374033,287.2623659,0.79054181,0.37603306,0.3030303,0.77317339,0.6976584,9.27272727,1.87327401,0.21028466,0.88182339,0.3030303,-0.76967953,0.93779964,22.06060606,-2.96994741,14.4164333,0.56060606,0.3030303
segment_90,1,0,51.01515152,31.05444507,0.0086664,1.74135214,2.10084183,0,104,48.5,55.5,104,42.5,66,170.9360749,4.02202529,0.135196569,7.396637418,365.8756619,257.3095595,224.9403389,0.874201251,0.33080247,0.37777778,0.82055263,1.72864198,4.82222222,2.12599335,0.30222222,0.85417741,0.26666667,-0.66340864,0.93522977,7.45,15.98393964,106.9605209,0.52222222,0.16944444
segment_91,1,0,62.60784314,33.59217838,-0.51803365,2.12031732,2.17451076,1,125,73,52.5,124,35.5,51,127.6812409,3.59665467,0.165421523,6.045162591,356.4056677,365.5599155,283.4261352,0.775320606,0.61651235,0.13888889,0.91928251,0.43016975,4.47222222,1.21256328,0.10030864,0.42620259,0.13888889,-0.28605104,0.46280938,6.88888889,-1.93072702,10.12498571,0.69444444,0.13888889
segment_92,1,0,60.26829268,35.60763442,-0.37970157,1.89442588,2.25693575,0,121,73,53,121,25,41,108.509668,4.34038672,0.163345247,6.12200244,337.8431589,348.1839095,256.2891611,0.736074109,0.71768707,0.14285714,0.96325459,0.64795918,5.0952381,0.98340402,0.08163265,0.32840938,0.14285714,-0.20300506,0.32049995,8.33333333,-5.44023324,44.06330696,0.76190476,0.14285714
segment_93,1,0,74.54901961,38.98632929,-0.91836577,2.54593636,2.12649371,0,129,85,40.5,129,36.5,51,126.0243866,3.45272292,0.169940453,5.884414109,347.3326935,324.0910711,151.5301461,0.467554214,0.56325023,0.23391813,0.9179758,1.26413255,5.11111111,1.3742161,0.1516364,0.62258262,0.23391813,-0.49618193,0.62558362,9.79532164,6.57439896,71.84535413,0.67836257,0.23391813
segment_94,1,0,43.95454545,36.44420053,0.14794333,1.6008559,1.82275908,0,121,53.5,64.5,121,29,44,112.8528137,3.89147634,0.16915761,5.911646558,347.3326935,291.3238101,144.6529605,0.49653669,0.75520833,0.04166667,0.97996661,0.51996528,2.70833333,0.6360276,0.03819444,0.20690843,0.04166667,-0.42152172,0.45917404,2.45833333,3.1244213,13.77944155,0.83333333,0.04166667
segment_95,1,0,37.42647059,38.34146741,0.53306949,1.69916009,1.88975583,0,116,12,69.5,116,51.5,68,163.3380951,3.1716135,0.155747491,6.420649164,339.5717892,294.273981,218.767918,0.74341577,0.60603191,0.40530303,0.39727989,0.55508207,3.45833333,0.98614408,0.08912994,0.38320877,0.40530303,-0.69160258,0.70445678,3.625,3.41245791,18.88515362,0.68181818,0.40530303
segment_96,1,1,68.38636364,37.22874576,-0.32608403,2.08611867,2.36765812,0,159,78,62.25,159,74.5,132,359.2691194,4.82240429,0.085165398,11.74185792,368.5172995,384.9248734,314.8864033,0.81804639,0.47125772,0.24305556,0.85880355,1.16493056,6.625,1.53540104,0.15258488,0.64387066,0.24305556,-0.57794656,0.69996933,12.68402778,-6.35416667,80.99479167,0.58333333,0.24305556
segment_97,1,1,94.43089431,44.68281736,-0.71629071,2.33645085,2.46700615,1,168,111,67.5,167,77.5,123,321.3868684,4.14692733,0.097101884,10.29846138,346.9538874,413.9420358,253.3316848,0.611997968,0.24041201,0.41025641,0.82741146,1.68430857,9.74358974,2.32332485,0.20731975,0.8719805,0.41025641,-0.68944743,0.94131629,25.72649573,-8.90567946,108.5974157,0.35470085,0.41025641
segment_98,1,1,82.54054054,34.11157733,-0.76283571,3.11332026,2.37644745,1,156,91,41.5,155,65.5,111,297.3868684,4.54025753,0.096472558,10.365642,353.5109616,345.4993278,283.6559737,0.821002968,0.44238683,0.37037037,0.28953771,0.97427984,8.85185185,1.28794213,0.03292181,0.16775278,0.37037037,-0.8838185,0.92447839,20.38888889,-0.30544124,29.07895138,0.48148148,0.37037037
segment_99,1,1,81.47540984,38.24708563,-0.39590392,2.29300858,2.55030991,0,162,85.5,59,162,69.5,122,330.9848481,4.76237192,0.089287204,11.19981319,365.9781414,438.9915731,291.6755687,0.664421794,0.36977626,1.30288462,0.40769806,2.14430011,7.78365385,1.67482796,0.17150518,0.70175139,0.80288462,-0.86491985,0.94148017,16.88942308,-11.03927586,147.1820229,0.49038462,0.36538462
